"Protein.Group","Protein.Ids","Protein.Names","Genes","First.Protein.Description","b1_9_rep","b1_7","b1_2","b1_3","b1_6","b1_pool","b1_5","b1_1","b1_9","b1_4","b1_8","b1_10","b2_4","b2_8","b2_6","b2_9","b2_3","b2_1","b2_10","b2_7","b2_2","b2_pool","b2_5","b2_9_rep"
"Q8NDA8;Q8NDA8-2","Q8NDA8-2;Q8NDA8-4;Q8NDA8-6;Q8NDA8-7;Q8NDA8","MROH1_HUMAN","MROH1","Maestro heat-like repeat-containing protein family member 1",NA,NA,1385.69,NA,NA,NA,NA,NA,NA,1407.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1355.63,NA,NA
"Q8NDB2;Q8NDB2-2;Q8NDB2-3","Q8NDB2-2;Q8NDB2-3;Q8NDB2-4;Q8NDB2","BANK1_HUMAN","BANK1","B-cell scaffold protein with ankyrin repeats",NA,NA,12657.3,5866.98,7591.5,NA,NA,8651.38,NA,NA,10263.5,NA,NA,NA,NA,NA,2692.88,12068.3,NA,NA,NA,NA,NA,NA
"Q8NDI1;Q8NDI1-2;Q8NDI1-3","Q8NDI1-2;Q8NDI1-3;Q8NDI1","EHBP1_HUMAN","EHBP1","EH domain-binding protein 1",NA,NA,7918.92,3101.24,NA,3267.05,2386.76,4907.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,5264.65,NA,NA,NA,2848.29,NA,NA
"Q8NDZ4","Q8NDZ4-2;Q8NDZ4","DIK2A_HUMAN","DIPK2A","Divergent protein kinase domain 2A",3637,NA,4048.03,3423.1,NA,NA,1402.35,4855.62,6475.19,NA,NA,NA,NA,NA,NA,NA,1615.1,2611.28,NA,NA,NA,2996.91,NA,NA
"Q8NE71;Q8NE71-2","Q8NE71-2;Q8NE71","ABCF1_HUMAN","ABCF1","ATP-binding cassette sub-family F member 1",NA,NA,33044.5,16685.7,NA,7495.25,8806.92,12191.5,5717.57,NA,NA,36977.2,13234.1,NA,NA,17581.9,16069,13704.5,10580.2,NA,NA,16998,5685.48,NA
"Q8NE86;Q8NE86-3","Q8NE86-2;Q8NE86-3;Q8NE86","MCU_HUMAN","MCU","Calcium uniporter protein, mitochondrial",6788.42,3360.28,33526.9,16706.5,NA,6865.6,7115.98,7204.16,7228.13,2335.26,3207.04,NA,2593.95,NA,NA,13561.1,10418.4,10249,NA,NA,NA,8691.5,NA,NA
"Q8NET6","Q8NET6-2;Q8NET6","CHSTD_HUMAN","CHST13","Carbohydrate sulfotransferase 13",2258.83,3862.03,NA,NA,NA,2639.49,5691.43,NA,2086.72,2498.83,3403.81,NA,9476.17,3167.25,3271.81,1726.91,2470.57,1606.29,3768.8,2466.9,NA,NA,2562.65,2548.94
"Q8NEU8;Q8NEU8-3","Q8NEU8-2;Q8NEU8-3;Q8NEU8","DP13B_HUMAN","APPL2","DCC-interacting protein 13-beta",4285.35,1685.82,52086.2,10935.1,5105.92,13175.5,19080.9,14977.1,NA,NA,5124.72,NA,NA,NA,5133.79,1541.97,25745.8,20929.2,7533.74,NA,13507.1,15064.8,13042.3,NA
"Q8NEX9","Q8NEX9","DR9C7_HUMAN","SDR9C7","Short-chain dehydrogenase/reductase family 9C member 7",5849.05,14480.8,8464.93,5626.58,11833.1,15005.5,NA,17655,12022.3,20759.9,6910.06,7350.01,12588.7,16909.1,16824,13461.2,17922.9,10618.1,7619.44,9261.43,15191.4,12411.1,11996.7,20335.9
"Q8NF50;Q8NF50-2;Q8NF50-3;Q8NF50-4","Q8NF50-2;Q8NF50-3;Q8NF50-4;Q8NF50","DOCK8_HUMAN","DOCK8","Dedicator of cytokinesis protein 8",30300.4,37354.2,56679.8,41617.5,60681.2,44887.2,29139.4,33954.1,32472.2,38263.1,26944.1,25797.8,23829.3,38286.4,39809.9,36095.5,37951.2,24255.6,29314.6,55800.1,42078.3,35524.6,29783.9,19864.3
"Q8NFW8;Q8NFW8-2","Q8NFW8-2;Q8NFW8","NEUA_HUMAN","CMAS","N-acylneuraminate cytidylyltransferase",2053.35,5126.87,2615.11,4562.7,NA,5974.88,11727.6,3445.51,5350.7,4606.38,5564.46,2437.85,6247.95,NA,3376.64,NA,NA,2100.69,2744.26,NA,4677.7,4540.07,3115.55,NA
"Q8NG06","Q8NG06","TRI58_HUMAN","TRIM58","E3 ubiquitin-protein ligase TRIM58",NA,NA,51041.7,13424.3,NA,8212.39,15521.3,12767.8,2551.67,NA,1870.65,NA,3732.38,NA,3893.83,NA,8448.88,12044,1252.74,1558.08,NA,8945.35,3717.9,1857.6
"Q8NHG7","Q8NHG7","SVIP_HUMAN","SVIP","Small VCP/p97-interacting protein",NA,NA,16166.1,8257.11,2251.64,4897.47,2624.51,NA,3092.91,3977.42,NA,NA,NA,NA,NA,NA,6409.15,9465.49,1375.79,NA,NA,6896.05,NA,NA
"Q8NHP6;Q8NHP6-2","Q8NHP6-2;Q8NHP6","MSPD2_HUMAN","MOSPD2","Motile sperm domain-containing protein 2",1282.33,3607.13,8180.08,4056.83,NA,4787.33,4565.49,NA,NA,NA,NA,590.751,3332.12,NA,NA,NA,4129.14,3032.81,NA,NA,NA,1663.95,1015.83,NA
"Q8NI08;Q8NI08-2;Q8NI08-7","Q8NI08-2;Q8NI08-3;Q8NI08-4;Q8NI08-7;Q8NI08","NCOA7_HUMAN","NCOA7","Nuclear receptor coactivator 7",NA,NA,13458,2785.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5677.55,NA,NA,NA,NA,NA,NA
"Q8NI99","Q8NI99;Q9UKU9-2;Q9UKU9","ANGL6_HUMAN","ANGPTL6","Angiopoietin-related protein 6",92448.7,52083.9,35674.4,52632.1,68861.5,69533.2,77579.8,49813.1,90511.5,49440.6,86111.5,78883.8,78756.5,79256,79941.7,65050.2,63639.2,37872.1,70351.4,64423.6,64333.3,62749.7,56470.9,81753.2
"Q8TB03-3","Q8TB03-3;Q8TB03","CX038_HUMAN","CXorf38","Isoform 3 of Uncharacterized protein CXorf38",NA,NA,3126.74,NA,NA,1895.22,NA,2187.06,1740.37,NA,NA,NA,2094.62,NA,NA,NA,3834.87,1576.33,NA,NA,NA,NA,NA,NA
"Q8TB24","Q8TB24-4;Q8TB24","RIN3_HUMAN","RIN3","Ras and Rab interactor 3",2577.28,1138.3,24495.4,2431.38,NA,3495.83,NA,4707.5,NA,1604.55,NA,NA,NA,NA,NA,NA,3164.06,7476.66,NA,NA,3346.88,4491.57,848.818,NA
"Q8TB61;Q8TB61-2;Q8TB61-3;Q8TB61-4;Q8TB61-5","Q8TB61-2;Q8TB61-3;Q8TB61-4;Q8TB61-5;Q8TB61","S35B2_HUMAN","SLC35B2","Adenosine 3'-phospho 5'-phosphosulfate transporter 1",NA,NA,14619.5,2234.44,NA,3830.55,NA,2685.81,NA,NA,NA,NA,NA,NA,NA,NA,2875.29,NA,NA,NA,NA,8534.54,NA,NA
"Q8TBQ9","Q8TBQ9","KISHA_HUMAN","TMEM167A","Protein kish-A",NA,NA,2447.48,2813.37,NA,2554.02,NA,3350,NA,2430.91,1365.44,NA,NA,NA,NA,875.091,NA,831.597,840.737,NA,NA,NA,NA,NA
"Q8TBX8;Q8TBX8-3","Q8TBX8-2;Q8TBX8-3;Q8TBX8","PI42C_HUMAN","PIP4K2C","Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma",NA,NA,8475.84,6253.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2200.15,NA,NA,NA,NA,6746.25,NA,NA
"Q8TC07-2;Q8TC07-3","Q8TC07-2;Q8TC07-3","TBC15_HUMAN","TBC1D15","Isoform 2 of TBC1 domain family member 15",NA,NA,8774.39,2360.36,NA,NA,NA,1117.56,NA,NA,NA,NA,NA,NA,NA,NA,2902.36,NA,NA,NA,NA,NA,NA,NA
"Q8TC12","Q8TC12-3;Q8TC12","RDH11_HUMAN","RDH11","Retinol dehydrogenase 11",14383.7,11799.6,224500,64224.8,12688.4,52226.9,46926.7,47090.4,16649.8,13169.6,8477.73,4319.09,35257.2,NA,4770.02,11728.1,56185.3,62933.9,6952.36,14859.8,16486.5,47778,9383.56,5760.33
"Q8TCJ2","Q8TCJ2","STT3B_HUMAN","STT3B","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B",NA,3781.92,53759.9,17711.4,6020.52,14304.5,8190.07,12120.8,4388.44,3209.14,4617.04,NA,8996.56,NA,NA,10502.1,10438,15701.8,NA,NA,6116.96,9637,NA,NA
"Q8TD16;Q8TD16-2","Q8TD16-2;Q8TD16","BICD2_HUMAN","BICD2","Protein bicaudal D homolog 2",NA,5069.37,21997.2,13626.6,NA,7670.85,6920.53,18262,NA,1571.58,NA,NA,NA,NA,1473.83,NA,8152.08,12722.9,NA,NA,1094.04,5240.15,9067.01,NA
"Q8TD19","Q8TD19","NEK9_HUMAN","NEK9","Serine/threonine-protein kinase Nek9",5436.27,4091.16,27047.9,6258.68,NA,4711.23,4158.78,3756.92,23163,2356.77,2196.84,NA,5934.66,17596.1,1247.94,NA,7355.49,10176.7,17181.6,NA,NA,5169.06,NA,NA
"Q8TD43;Q8TD43-2;Q8TD43-3","Q8TD43-2;Q8TD43-3;Q8TD43","TRPM4_HUMAN","TRPM4","Transient receptor potential cation channel subfamily M member 4",NA,NA,9776.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1823.36,2291.15,NA,NA,NA,NA,NA,NA
"Q8TD55","Q8TD55-2;Q8TD55","PKHO2_HUMAN","PLEKHO2","Pleckstrin homology domain-containing family O member 2",3754.4,6051.97,52691.6,14048.7,2675.44,13563.9,5625.51,5264.92,3833.75,3930.65,6940.94,3025.8,5177.8,NA,2335.6,1492.17,11204.6,12312.5,NA,1896.07,2724.04,9643.13,2353.62,5244.41
"Q8TDB6","Q8TDB6","DTX3L_HUMAN","DTX3L","E3 ubiquitin-protein ligase DTX3L",NA,NA,12823.5,6278.97,NA,NA,NA,7237.34,NA,NA,NA,NA,NA,NA,4367.41,4381.62,3660.95,9529.55,NA,NA,NA,NA,NA,NA
"Q8TDL5","Q8TDL5-2;Q8TDL5","BPIB1_HUMAN","BPIFB1","BPI fold-containing family B member 1",15052.9,26874.9,16183.8,7335.17,12808.5,18694.5,17504,21670.1,14617.8,16739.9,20919.1,19124.3,40776,15900.5,20549.4,41380.7,22511.3,15213.7,18570.1,18664.4,38639.4,22579.8,23385.2,44718.9
"Q8TDX7","Q8TDX7","NEK7_HUMAN","NEK7","Serine/threonine-protein kinase Nek7",3232.2,4196.94,21786.5,6635.5,NA,5886.6,8652.54,6801.35,NA,NA,NA,NA,8895.29,2649.83,NA,NA,7038.31,11706.7,NA,NA,NA,12080.9,NA,NA
"Q8TDZ2;Q8TDZ2-4","Q8TDZ2-2;Q8TDZ2-4;Q8TDZ2","MICA1_HUMAN","MICAL1","[F-actin]-monooxygenase MICAL1",2088.96,NA,27983.6,4261.94,1377.53,9727.94,3985.48,4533.27,8594.58,1765.24,1923.48,NA,4484.57,NA,NA,NA,7786.98,7051.9,NA,NA,NA,4933.38,5164.57,NA
"Q8TE68","Q8TE68-2;Q8TE68-3;Q8TE68-4;Q8TE68","ES8L1_HUMAN","EPS8L1","Epidermal growth factor receptor kinase substrate 8-like protein 1",NA,4222.61,NA,NA,NA,4300.74,NA,10480.1,NA,4649.88,2639.48,NA,NA,6385.95,506.52,6132.71,9147.74,8988.12,5751.37,3186.28,7812.13,NA,6324.38,4091.26
"Q8TEA8","Q8TEA8","DTD1_HUMAN","DTD1","D-aminoacyl-tRNA deacylase 1",7930.14,3240.64,34183.2,28534.2,4381.27,17969.8,20760.2,19426,7191.82,11842.1,6936.66,NA,25636.7,3189.35,7788.25,3082.6,27912.5,43662.8,1958.06,NA,6856.41,15981.5,13315.4,1810.98
"Q8TEB9;Q8TEB9-2","Q8TEB9-2;Q8TEB9","RHBL4_HUMAN","RHBDD1","Rhomboid-related protein 4",NA,NA,29115.9,6358.27,NA,NA,NA,6798.06,NA,NA,NA,NA,5060.31,NA,NA,NA,NA,7332.94,NA,NA,NA,6750.07,NA,NA
"Q8TEQ0;Q8TEQ0-2","Q8TEQ0-2;Q8TEQ0","SNX29_HUMAN","SNX29","Sorting nexin-29",NA,18533.6,2842.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2893.26,NA,NA,NA,NA,NA,NA,NA
"Q8TER0;Q8TER0-5","Q8TER0-3;Q8TER0-4;Q8TER0-5;Q8TER0","SNED1_HUMAN","SNED1","Sushi, nidogen and EGF-like domain-containing protein 1",31610.4,32960.9,18892.6,18047.8,27007.1,27962.6,24832.8,27439.9,30394.5,21531.1,32526.8,41610.6,27785.8,27006.7,31071.3,26802.2,27647.4,20457.2,29571.3,29901.2,32003,30374.3,23460,36612
"Q8TEW0-9","Q8TEW0-10;Q8TEW0-8;Q8TEW0-9","PARD3_HUMAN","PARD3","Isoform 9 of Partitioning defective 3 homolog",NA,NA,13169.4,2388.05,2161.34,NA,NA,4183,2945.73,NA,NA,NA,NA,NA,NA,986.503,1491.86,6792.29,NA,NA,NA,1959.44,NA,NA
"Q8TEW0;Q8TEW0-2;Q8TEW0-4","Q8TEW0-10;Q8TEW0-11;Q8TEW0-2;Q8TEW0-3;Q8TEW0-4;Q8TEW0-5;Q8TEW0-6;Q8TEW0-7;Q8TEW0-8;Q8TEW0-9;Q8TEW0","PARD3_HUMAN","PARD3","Partitioning defective 3 homolog",NA,NA,45462.1,7692.84,1754.78,8709.75,5530.89,7339.22,4771.05,3629.96,1124.34,NA,7909.35,NA,NA,NA,10366.8,17106.9,NA,NA,NA,14108.1,19067.4,7394.13
"Q8TF42","Q8TF42","UBS3B_HUMAN","UBASH3B","Ubiquitin-associated and SH3 domain-containing protein B",5247.92,6173.72,101922,24512.5,6394.71,20891.9,20615.8,17496,7044.33,6107.99,1405.18,NA,11307.1,NA,4426.87,NA,32703.4,24185.2,2813.96,NA,NA,13670.1,4689.95,NA
"Q8TF66;Q8TF66-2","Q8TF66-2;Q8TF66","LRC15_HUMAN","LRRC15","Leucine-rich repeat-containing protein 15",NA,1751.96,520.989,1914.36,NA,3639.32,NA,14520.4,NA,NA,805.909,2017.1,1418.62,910.896,883.557,NA,NA,NA,NA,NA,3661.46,730.497,1447.17,NA
"Q8TF72","Q8TF72","SHRM3_HUMAN","SHROOM3","Protein Shroom3",108467,67383.2,54313.3,65463.7,92185.5,119262,121633,127736,72168,43138.2,84202.4,181862,470740,151943,60169.4,53137.6,146481,85952.7,165508,39998.4,135911,79507.6,71240.2,82808.6
"Q8WTW3","Q8WTW3","COG1_HUMAN","COG1","Conserved oligomeric Golgi complex subunit 1",NA,NA,6970.3,2393.92,NA,NA,NA,483.641,NA,NA,NA,NA,NA,NA,NA,NA,935.949,NA,NA,NA,NA,1608.49,NA,NA
"Q8WUA8","Q8WUA8","TSK_HUMAN","TSKU","Tsukushi",27405.2,67366.7,48891.8,37814,98329.3,61953.7,75660.7,51806.7,42176.6,35477.9,54963,57023.1,59977.5,59880.1,66325.4,60364.7,90961,42023.4,41022.2,81559.2,78321.2,56181.8,41795.1,64962.9
"Q8WUJ3","Q8WUJ3-2;Q8WUJ3","CEMIP_HUMAN","CEMIP","Cell migration-inducing and hyaluronan-binding protein",61485.5,23305.8,11748.8,41063.3,38465.8,40974.8,30740.5,50420,51683,29625.3,30855,26727.7,24752.6,46069.3,36238.9,67819,29416,29507.2,26371.4,29779.8,41947.7,39145.1,39771.8,55841.7
"Q8WUM4","Q8WUM4-2;Q8WUM4-3;Q8WUM4","PDC6I_HUMAN","PDCD6IP","Programmed cell death 6-interacting protein",13728.3,13074.5,59638.4,20744.8,11249.9,24237.5,14972.5,28006.5,16246.6,18632.8,10723.7,9790.29,29430.5,10079.3,10509.2,14813.7,28201,29583.3,10006.9,21105.1,19593.5,24169,17941.6,14060.5
"Q8WUW1;Q8WUW1-2","Q8WUW1-2;Q8WUW1","BRK1_HUMAN","BRK1","Protein BRICK1",NA,7247.67,26895,9642.68,3451.08,12782.7,5609.71,3438.94,584.664,2484.53,1827.67,8297.1,7094.46,NA,4027.23,NA,8091.91,8000.7,NA,NA,NA,6646.25,8784.18,NA
"Q8WUY1","Q8WUY1","THEM6_HUMAN","THEM6","Protein THEM6",4327.42,5045.44,25772.6,3285.44,NA,10722,8934.46,12295.5,NA,NA,NA,NA,NA,NA,NA,NA,8986.7,10390.4,NA,NA,NA,5943.08,NA,NA
"Q8WVC6","Q8WVC6-2;Q8WVC6","DCAKD_HUMAN","DCAKD","Dephospho-CoA kinase domain-containing protein",3327.07,NA,20323.2,3460.79,NA,NA,3063.98,NA,3951.35,NA,5700.15,NA,33853.4,NA,NA,NA,2816.21,NA,NA,NA,6097.88,3644.52,NA,NA
"Q8WVM8;Q8WVM8-2;Q8WVM8-3","Q8WVM8-2;Q8WVM8-3;Q8WVM8","SCFD1_HUMAN","SCFD1","Sec1 family domain-containing protein 1",NA,NA,19760.5,5668.88,NA,5276.09,21535.5,5535.43,4093.03,6487.55,NA,NA,6087.66,NA,NA,NA,6837.28,6859.92,4304.86,NA,NA,NA,NA,NA
"Q8WVV4;Q8WVV4-1","Q8WVV4-1;Q8WVV4-3;Q8WVV4","POF1B_HUMAN","POF1B","Protein POF1B",23994.8,19845,24501.3,11890.3,28467,46103.5,22646.9,38816.7,24108.1,53241.1,37017.2,16645.5,53383.3,27136.4,31585.2,66410.7,168337,117360,24717.5,34880.9,49144.5,53347.8,81701.3,59244.2
"Q8WWA0","Q8WWA0;Q8WWU7-2;Q8WWU7","ITLN1_HUMAN","ITLN1","Intelectin-1",NA,2108.69,6301.46,4926.46,6222.43,3960.33,3258.08,6903.63,2590.03,7327.43,5467.15,NA,3703.19,5032.48,11038.8,3152.14,4787.15,4946.41,1560.43,11379.3,8367.5,4682.38,6094.29,2167.4
"Q8WWA1;Q8WWA1-2","Q8WWA1-2;Q8WWA1-3;Q8WWA1","TMM40_HUMAN","TMEM40","Transmembrane protein 40",12436.9,NA,96516.4,17093.5,4830.06,23420.9,27358,21703.7,16636,6879.18,14134.5,NA,16769.5,NA,6085.68,NA,21886.8,37122.2,NA,NA,8076.51,20787.5,4949.73,NA
"Q8WWI5","Q8WWI5-2;Q8WWI5-3;Q8WWI5","CTL1_HUMAN","SLC44A1","Choline transporter-like protein 1",8311.06,4730.26,33629.7,8825.57,4648.92,5233.23,12291.1,9048.35,11765.9,8052.1,3575.57,NA,5013.93,3543.67,1247.59,NA,7312.79,5171.8,NA,NA,NA,10303,4677.33,NA
"Q8WWV6;Q8WWV6-2;Q8WWV6-3;Q8WWV6-4","Q8WWV6-2;Q8WWV6-3;Q8WWV6-4;Q8WWV6","FCAMR_HUMAN","FCAMR","High affinity immunoglobulin alpha and immunoglobulin mu Fc receptor",1036.51,NA,NA,NA,3716.98,3768.52,34335.6,2649.68,NA,NA,5689.03,NA,NA,NA,NA,NA,NA,8791.99,NA,NA,NA,NA,NA,NA
"Q8WWZ8","Q8WWZ8-2;Q8WWZ8","OIT3_HUMAN","OIT3","Oncoprotein-induced transcript 3 protein",NA,8040.57,15538,11235.6,5870.07,8786.4,13555.7,11068.8,4137.94,9446.14,9842.87,12391,5149.41,8691.18,9723.34,11965.6,11203.6,5281.94,7113.72,6977.63,7081.71,12786.4,7288.44,5840.88
"Q8WX77","Q8WX77","IBPL1_HUMAN","IGFBPL1","Insulin-like growth factor-binding protein-like 1",NA,4942.64,3172.65,NA,7324.89,6575.82,25028.3,6571.14,7009.89,6640.25,5201.21,3834.36,3057.14,5408.53,7714.97,5152.69,NA,NA,NA,2720.11,NA,8368.5,NA,6964.65
"Q8WXE9;Q8WXE9-3","Q8WXE9-3;Q8WXE9","STON2_HUMAN","STON2","Stonin-2",3620.89,NA,10446.4,2792.15,NA,1243.71,NA,2217.81,NA,NA,NA,NA,NA,NA,NA,NA,3045.35,3163.03,NA,NA,NA,NA,NA,NA
"Q8WXF7;Q8WXF7-2","Q8WXF7-2;Q8WXF7","ATLA1_HUMAN","ATL1","Atlastin-1",5357.47,NA,51688.5,21892.6,NA,8612.91,15714,7820.23,6368.56,NA,928.932,NA,13131.8,NA,NA,1121.99,12131.5,14657.5,NA,NA,3780.18,13726.7,NA,NA
"Q8WXG6-2;Q8WXG6-3;Q8WXG6-4;Q8WXG6-5;Q8WXG6-8","Q8WXG6-2;Q8WXG6-3;Q8WXG6-4;Q8WXG6-5;Q8WXG6-6;Q8WXG6-8","MADD_HUMAN","MADD","Isoform 2 of MAP kinase-activating death domain protein",183.517,NA,9961.07,1476.41,NA,4082.12,5376.21,3845.7,NA,NA,NA,NA,6454.85,NA,884.452,NA,1261.87,3292.82,NA,NA,NA,NA,NA,NA
"Q8WXK3;Q8WXK3-2","Q8WXK3-2;Q8WXK3","ASB13_HUMAN","ASB13","Ankyrin repeat and SOCS box protein 13",3645.63,8393.32,NA,20645.4,9492.68,11566.1,NA,10130.4,NA,5753.18,NA,NA,6486.81,NA,5140.31,14927.3,NA,6585.52,NA,15653.5,NA,NA,8633.84,25519.8
"Q8WXX5","Q8WXX5","DNJC9_HUMAN","DNAJC9","DnaJ homolog subfamily C member 9",NA,NA,4630.75,2940.26,NA,NA,NA,2468.19,NA,1495.93,NA,NA,NA,NA,NA,NA,1235.75,1755.88,NA,NA,NA,NA,NA,NA
"Q8WZ42;Q8WZ42-11;Q8WZ42-12;Q8WZ42-13;Q8WZ42-2;Q8WZ42-4;Q8WZ42-7;Q8WZ42-8","Q8WZ42-10;Q8WZ42-11;Q8WZ42-12;Q8WZ42-13;Q8WZ42-2;Q8WZ42-3;Q8WZ42-4;Q8WZ42-5;Q8WZ42-7;Q8WZ42-8;Q8WZ42-9;Q8WZ42","TITIN_HUMAN","TTN","Titin",845247,933138,679463,853645,1077620,955954,1237300,849649,849520,733447,709612,591694,839737,807994,911693,665568,966994,470125,827709,866116,994467,906058,835286,884288
"Q92499;Q92499-2","Q92499-2;Q92499","DDX1_HUMAN","DDX1","ATP-dependent RNA helicase DDX1",1143.53,4547.47,12709.2,1011.43,5544.24,7999.55,NA,3192.56,3439.46,NA,1457.51,NA,NA,NA,NA,NA,2094.77,5470.15,NA,NA,NA,NA,5078,NA
"Q92538;Q92538-2;Q92538-3","Q92538-2;Q92538-3;Q92538","GBF1_HUMAN","GBF1","Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1",NA,NA,3078.49,656.645,NA,2346.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Q92542;Q92542-2","Q92542-2;Q92542","NICA_HUMAN","NCSTN","Nicastrin",4813.24,NA,20262.1,6790.31,3879.29,10928.3,6075.98,6715.02,6443.87,3137.12,2341.89,NA,5745.77,2994.05,4973.04,7130.16,11332.6,7025.34,4178.18,2465.47,2967.66,4965.44,4937.97,6585.56
"Q92558","Q92558","WASF1_HUMAN","WASF1","Actin-binding protein WASF1",NA,28297.2,39859.8,3080.67,NA,25767.1,53654.6,30024.9,NA,NA,NA,NA,NA,NA,NA,NA,27312.9,24121.7,NA,NA,NA,28437.7,NA,NA
"Q92575","Q92575","UBXN4_HUMAN","UBXN4","UBX domain-containing protein 4",NA,NA,5857.56,2750.38,NA,1950.09,NA,6438.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1002.42,NA,NA
"Q92598;Q92598-2;Q92598-3","Q92598-2;Q92598-3;Q92598","HS105_HUMAN","HSPH1","Heat shock protein 105 kDa",NA,NA,4999.41,NA,NA,1497.1,NA,3243.92,NA,NA,NA,NA,NA,NA,NA,NA,2920.53,1186.71,NA,NA,NA,5749.86,2068.67,NA
"Q92604","Q92604","LGAT1_HUMAN","LPGAT1","Acyl-CoA:lysophosphatidylglycerol acyltransferase 1",NA,NA,5290.33,1078.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2461.96,NA,NA,NA,NA,NA,NA
"Q92608","Q92608","DOCK2_HUMAN","DOCK2","Dedicator of cytokinesis protein 2",NA,NA,7010.05,4357.06,1652.29,1970.22,NA,1483.95,NA,NA,355.845,NA,NA,NA,2242,NA,3221,2393.74,NA,NA,NA,NA,3113.46,NA
"Q92614;Q92614-2;Q92614-4","Q92614-2;Q92614-4;Q92614-5;Q92614","MY18A_HUMAN","MYO18A","Unconventional myosin-XVIIIa",5005.38,2736.01,37713.1,8037.59,4958,11865.1,15925.8,10309,5266.61,3646.67,3019.2,9447.41,8763.05,NA,2579.94,3475.88,15091.8,14578,11536.5,NA,4405.73,10854.7,5464.51,3660.67
"Q92616","Q92616","GCN1_HUMAN","GCN1","eIF-2-alpha kinase activator GCN1",7216.5,NA,6275.41,1313.49,NA,3299.41,NA,2721.06,NA,NA,NA,NA,NA,NA,NA,NA,3126.3,4325,NA,NA,NA,3017.59,1410.77,NA
"Q92619","Q92619-2;Q92619","HMHA1_HUMAN","ARHGAP45","Rho GTPase-activating protein 45",12617.2,11426.7,227792,42149.3,15763.7,41317.8,43030.1,43125,12090.3,9650.48,6410.51,14517.5,38845.9,6755.5,5123.08,6280.11,46981.3,62245.3,6106,2746.79,6461.93,43296.6,8943.48,10138.2
"Q92625","Q92625-2;Q92625","ANS1A_HUMAN","ANKS1A","Ankyrin repeat and SAM domain-containing protein 1A",NA,NA,8017.95,513.931,NA,2705.53,NA,6295.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,4257.9,NA,NA,NA,1330.58,NA,NA
"Q92626","Q92626-2;Q92626","PXDN_HUMAN","PXDN","Peroxidasin homolog",29167,27105.8,3321.17,18244.9,28204.5,19156.5,26233.6,20299.5,30288.7,31637.4,21933.4,23195.3,11519.8,25631.2,19932.4,16675.1,11691.9,6708.94,16104.3,8883.89,13154.8,22260.2,14583.2,22791.9
"Q92686","Q92686","NEUG_HUMAN","NRGN","Neurogranin",44487.5,45659.7,837054,336724,38396.6,189981,210145,219731,41418.2,48348.9,31213.3,24442.3,152729,9943.17,21353.9,21103.4,278843,383187,37235.3,6683.52,43120,167292,26385.1,23378.8
"Q92692;Q92692-2","Q92692-2;Q92692","NECT2_HUMAN","NECTIN2","Nectin-2",688.805,3614.56,18959,2758.23,1970.62,3249.02,13832,6458.42,1127.93,1603.46,1471.7,NA,NA,NA,NA,1082.78,7853.4,6186.86,NA,NA,2670.37,4325.66,994.219,NA
"Q92743","Q92743","HTRA1_HUMAN","HTRA1","Serine protease HTRA1",151380,44577.3,26508.6,79318.8,67885.9,81456.9,103285,78662.2,151469,91039.2,59249.5,132148,88695.5,89251.3,89666.6,105147,55211.7,35140.3,63767.8,38079.8,77869.2,87528.6,63365.5,102829
"Q92747","Q92747","ARC1A_HUMAN","ARPC1A","Actin-related protein 2/3 complex subunit 1A",5136.64,3075.25,14345.4,6360.53,3582.81,5752.3,7092.85,7730.68,5178.24,9229.11,2631.05,7318.39,NA,3493.67,3882.04,2401.94,7788.64,8294.35,NA,3109.17,NA,8448.06,4583.81,NA
"Q92764","Q92764","KRT35_HUMAN","KRT35","Keratin, type I cuticular Ha5",NA,NA,NA,NA,NA,NA,NA,16704.3,NA,NA,NA,NA,NA,2883.6,NA,NA,NA,NA,NA,NA,NA,7375.87,1178,NA
"Q92765","Q92765","SFRP3_HUMAN","FRZB","Secreted frizzled-related protein 3",14653.7,12172.5,9879.45,7786.45,10144.8,8330.33,12268.1,6216.42,10959.3,9054.36,9141.63,17625.6,3244.71,4748.36,15164.5,5249.61,NA,5132.72,NA,10001.6,7535.25,7892.85,4399.98,8515.11
